Writer,Content,Date,Like,Tag,Comments,Url
chungnyeonnong,[],2022-12-22,26.2K,"['#눈', '#웃긴영상', '#유머', '#viral', '#meme']",840,https://www.tiktok.com/@chungnyeonnong/video/7179907653311794434?q=%EC%9C%A0%EB%A8%B8
hanjin0624,[],2-13,433.7K,['#유머'],1196,https://www.tiktok.com/@hanjin0624/video/7199584370137615617?q=%EC%9C%A0%EB%A8%B8
mpl_sound,[],2-22,36.2K,"['#중국', '#웃긴영상', '#웃긴짤', '#유머', '#예능', '#fyp', '#foryou']",119,https://www.tiktok.com/@mpl_sound/video/7202794628419013889?q=%EC%9C%A0%EB%A8%B8
kuja.monkey,[],9-22,7548,"['#유머저장소', '#유머동영상', '#유머짤', '#웃긴영상']",72,https://www.tiktok.com/@kuja.monkey/video/7281602385003154689?q=%EC%9C%A0%EB%A8%B8
instiz.official,[],2022-6-28,52.6K,"['#럽틱톡', '#럽스타', '#하이틴', '#fyp', '#유머', '#로맨스', '#추천떠라', '#인스티즈', '#인티']",444,https://www.tiktok.com/@instiz.official/video/7114166465611320578?q=%EC%9C%A0%EB%A8%B8
rila_go,[],10-20,73K,['#유머영상'],1243,https://www.tiktok.com/@rila_go/video/7291997559986392322?q=%EC%9C%A0%EB%A8%B8
tomato_humor_,[],11-6,12.6K,"['#테스트', '#추천', '#추천추천']",605,https://www.tiktok.com/@tomato_humor_/video/7298262651006668034?q=%EC%9C%A0%EB%A8%B8
kellyfornia_99,[],7-15,44.4K,"['#김켈리', '#코미디', '#유머']",240,https://www.tiktok.com/@kellyfornia_99/video/7255999396767173890?q=%EC%9C%A0%EB%A8%B8
funnyworldfuntv1,[],9-16,61K,[],506,https://www.tiktok.com/@funnyworldfuntv1/video/7279233163493133575?q=%EC%9C%A0%EB%A8%B8
dsfddw2e3e4,[],7-30,4723,"['#유머영상', '#유머영상모음', '#웃긴영상', '#웃긴영상모음', '#유머짤', '#재미있는영상', '#웃긴동영상', '#웃기는영상#레전드#웃짤#개꿀잼#웃짤모음#추천']",140,https://www.tiktok.com/@dsfddw2e3e4/video/7261430538043395329?q=%EC%9C%A0%EB%A8%B8
yccouple,[],4-11,4703,"['#코미디', '#유성의코코', '#스케치코미디', '#틱톡코미디', '#숏코믹무비', '#funny', '#코미디', '#유머저장소']",39,https://www.tiktok.com/@yccouple/video/7220576541674114322?q=%EC%9C%A0%EB%A8%B8
